Training Log
Config: {
    "dim_in": 273,
    "dim_hidden": 546,
    "dim_out": 120,
    "num_layers": 5,
    "dropout_rate": 0,
    "batch_size": 8,
    "max_num_epoch": 60,
    "initial_learning_rate": 0.01,
    "warmup_steps": 39685,
    "decay_steps": 264572,
    "decay_rate": 0.96,
    "min_learning_rate": 0.0001,
    "early_stop_threshold": 7,
    "optimizer_type": "sgd"
}
Epoch, Train Loss, Train Accuracy, Dev Loss, Dev Accuracy, Time
1, 0.018383, 55.26%, 0.012293, 65.14%, 2134.27
2, 0.010779, 69.17%, 0.010427, 70.15%, 2037.20
3, 0.009544, 72.33%, 0.009264, 73.19%, 2046.56
4, 0.008827, 74.17%, 0.009089, 73.06%, 2064.87
5, 0.008336, 75.47%, 0.008167, 75.87%, 1923.09
6, 0.008006, 76.35%, 0.008084, 76.04%, 1921.53
7, 0.007758, 76.99%, 0.007699, 77.06%, 1913.64
8, 0.007557, 77.54%, 0.007629, 77.29%, 1866.00
9, 0.007393, 77.96%, 0.007523, 77.43%, 1871.42
10, 0.007247, 78.35%, 0.007331, 78.20%, 1870.32
11, 0.007126, 78.66%, 0.007138, 78.50%, 1975.00
12, 0.007015, 78.96%, 0.007016, 78.82%, 2043.66
13, 0.006913, 79.22%, 0.006971, 78.88%, 1954.11
14, 0.006821, 79.47%, 0.006809, 79.45%, 2055.98
15, 0.006735, 79.68%, 0.006719, 79.65%, 2056.50
16, 0.006654, 79.91%, 0.006624, 79.90%, 1986.10
17, 0.006579, 80.11%, 0.006566, 80.13%, 2036.56
18, 0.006508, 80.29%, 0.006529, 80.14%, 2044.65
19, 0.006441, 80.47%, 0.006404, 80.52%, 2036.38
20, 0.006380, 80.62%, 0.006368, 80.60%, 2043.50
21, 0.006322, 80.77%, 0.006391, 80.39%, 2034.05
22, 0.006266, 80.92%, 0.006201, 81.13%, 2048.63
23, 0.006212, 81.06%, 0.006219, 80.99%, 1963.91
24, 0.006162, 81.19%, 0.006113, 81.21%, 2087.45
25, 0.006117, 81.30%, 0.006174, 81.08%, 2025.05
26, 0.006072, 81.41%, 0.006089, 81.35%, 1955.01
27, 0.006028, 81.54%, 0.006044, 81.45%, 2130.87
28, 0.005990, 81.63%, 0.005940, 81.93%, 1861.54
29, 0.005948, 81.74%, 0.005987, 81.54%, 1925.64
30, 0.005912, 81.84%, 0.005965, 81.67%, 1887.90
31, 0.005875, 81.93%, 0.005839, 81.93%, 2035.06
32, 0.005837, 82.04%, 0.005814, 82.01%, 1946.23
33, 0.005808, 82.10%, 0.005773, 82.28%, 1869.58
34, 0.005775, 82.17%, 0.005740, 82.20%, 1922.83
35, 0.005745, 82.27%, 0.005704, 82.38%, 1910.67
36, 0.005713, 82.35%, 0.005762, 82.25%, 1896.08
37, 0.005682, 82.42%, 0.005679, 82.39%, 1973.61
38, 0.005655, 82.48%, 0.005626, 82.54%, 2005.22
39, 0.005629, 82.55%, 0.005642, 82.45%, 1987.05
40, 0.005602, 82.63%, 0.005581, 82.72%, 1883.04
41, 0.005579, 82.69%, 0.005553, 82.79%, 1891.14
42, 0.005552, 82.75%, 0.005593, 82.60%, 1957.16
43, 0.005529, 82.81%, 0.005523, 82.71%, 2010.81
44, 0.005505, 82.87%, 0.005554, 82.76%, 2009.79
45, 0.005482, 82.94%, 0.005379, 83.31%, 2014.25
46, 0.005463, 82.98%, 0.005432, 83.06%, 2013.58
47, 0.005438, 83.03%, 0.005413, 83.23%, 2009.99
48, 0.005421, 83.08%, 0.005481, 82.82%, 2012.86
49, 0.005400, 83.14%, 0.005480, 82.94%, 1965.00
50, 0.005379, 83.20%, 0.005315, 83.39%, 1868.35
51, 0.005360, 83.25%, 0.005325, 83.31%, 1862.98
52, 0.005340, 83.28%, 0.005350, 83.41%, 1861.73
53, 0.005328, 83.31%, 0.005366, 83.08%, 1905.92
54, 0.005308, 83.36%, 0.005220, 83.66%, 2015.28
55, 0.005289, 83.42%, 0.005172, 83.81%, 2018.06
56, 0.005275, 83.45%, 0.005268, 83.43%, 2013.56
57, 0.005263, 83.48%, 0.005263, 83.39%, 1906.35
58, 0.005243, 83.54%, 0.005235, 83.51%, 2091.26
59, 0.005229, 83.56%, 0.005167, 83.82%, 2045.71
60, 0.005212, 83.61%, 0.005202, 83.67%, 1898.16
